Name,Country,Latitude,Longitude,Elevation,Type,Status,marker-symbol
Crow Lagoon,Canada,54.7,-130.23,335,Pyroclastic cone,Holocene,vol-red
Cu-Lao Re Group,Vietnam,15.38,109.12,181,Volcanic field,Holocene,vol-red
Cuicocha,Ecuador,0.308,-78.364,3246,Caldera,Radiocarbon,vol-red
Cuilapa-Barbarena,Guatemala,14.333,-90.4,1454,Volcanic field,Holocene,vol-red
Cuilapa-Barbarena,Guatemala,14.33,-90.4,1454,Volcanic field,Holocene,vol-red
Cumbal,Colombia,0.98,-77.88,4764,Stratovolcano,Historical,vol-red
"Cumbres, Las",Mexico,19.15,-97.27,3940,Stratovolcano,Radiocarbon,vol-red
Curacoa,Tonga,-15.62,-173.67,-33,Submarine volcano,Historical,vol-red
Curacoa,Tonga,-15.617,-173.667,-33,Submarine volcano,Historical,vol-red
Curtis Island,New Zealand,-30.542,-178.561,137,Submarine volcano,Uncertain,vol-red
"C¢ndor, Cerro el",Argentina,-26.617,-68.35,6532,Stratovolcano,Holocene,vol-red
Dabbahu,Ethiopia,12.6,40.48,1442,Stratovolcano,Holocene,vol-red
Dabbayra,Ethiopia,12.38,40.07,1302,Shield volcano,Holocene,vol-red
Dacht-I-Navar Group,Afghanistan,33.95,67.92,3800,Lava dome,Holocene,vol-red
Daikoku,Japan,21.324,144.194,-323,Submarine volcano,Fumarolic,vol-red
Daisetsu,Japan,43.68,142.88,2290,Stratovolcano,Tephrochronology,vol-red
Dakataua,Papua New Guinea,-5.056,150.108,400,Caldera,Anthropology,vol-red
Dalaffilla,Ethiopia,13.792,40.55,613,Stratovolcano,Holocene,vol-red
Dallol,Ethiopia,14.242,40.3,-48,Explosion crater,Historical,vol-red
Dama Ali,Ethiopia,11.28,41.63,1068,Shield volcano,Historical,vol-red
Damavand,Iran,35.951,52.109,5670,Stratovolcano,Holocene,vol-red
Dana,United States,55.62,-161.22,1354,Stratovolcano,Radiocarbon,vol-red
Danau Complex,Indonesia,-6.2,105.97,1778,Caldera,Holocene,vol-red
